,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2461951,18-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.45,153.0,293.29,292.0,9.2,18,9,2021
2462481,10-09-2021,Республика Бурятия,АВТО УСЛУГИ,11.92,601.0,236.32,255.0,8.3,10,9,2021
2462487,20-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,103.52,53.0,3.1,20,9,2021
2464855,20-09-2021,Республика Бурятия,ФАСТФУД,4.0,2176.0,381.94,395.0,10.0,20,9,2021
2465595,25-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,35.59,152.0,333.23,234.0,8.8,25,9,2021
2465614,07-09-2021,Республика Бурятия,ТРАНСПОРТ,35.9,253.0,313.48,289.0,10.0,7,9,2021
2466683,05-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,34.78,81.0,78.67,80.0,7.4,5,9,2021
2466878,25-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,50.75,86.0,77.0,81.0,2.3,25,9,2021
2467286,12-09-2021,Республика Бурятия,МЕД. УСЛУГИ,2.94,900.0,116.44,119.0,4.8,12,9,2021
2467576,13-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,214.97,204.0,5.3,13,9,2021
2468693,03-09-2021,Республика Бурятия,СПОРТТОВАРЫ,3.64,332.0,244.98,247.0,6.4,3,9,2021
2468697,12-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",7.37,339.0,255.28,260.0,7.6,12,9,2021
2468714,28-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,41.94,82.0,104.82,94.0,2.2,28,9,2021
2468858,26-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,360.06,355.0,10.0,26,9,2021
2469331,21-09-2021,Республика Бурятия,ФАСТФУД,5.32,2415.0,314.33,330.0,10.0,21,9,2021
2469470,23-09-2021,Республика Бурятия,КНИГИ,30.43,1124.0,422.9,522.0,10.0,23,9,2021
2471556,24-09-2021,Республика Бурятия,АВТО УСЛУГИ,11.01,643.0,276.23,295.0,8.3,24,9,2021
2471716,06-09-2021,Республика Бурятия,ФАСТФУД,5.23,2216.0,293.45,307.0,10.0,6,9,2021
2472084,06-09-2021,Республика Бурятия,СУВЕНИРЫ,16.67,594.0,154.97,177.0,4.6,6,9,2021
2473822,02-09-2021,Республика Бурятия,НКО,72.73,148.0,32.13,75.0,2.3,2,9,2021
2474207,26-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",35.29,147.0,117.12,126.0,9.2,26,9,2021
2476019,06-09-2021,Республика Бурятия,ТОПЛИВО,0.0,,245.54,246.0,8.6,6,9,2021
2476020,07-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,73.68,207.0,109.79,168.0,10.0,7,9,2021
2476021,12-09-2021,Республика Бурятия,ЦВЕТЫ,0.0,0.0,301.19,291.0,1.6,12,9,2021
2476466,20-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.72,152.0,183.19,183.0,8.8,20,9,2021
2476504,04-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,80.77,156.0,55.11,115.0,10.0,4,9,2021
2476580,26-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,82.86,210.0,64.47,151.0,8.7,26,9,2021
2476741,12-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",45.83,137.0,70.27,91.0,9.6,12,9,2021
2476742,21-09-2021,Республика Бурятия,СУВЕНИРЫ,12.5,583.0,212.81,231.0,3.9,21,9,2021
2477008,05-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,66.67,125.0,155.5,134.0,5.9,5,9,2021
2477567,09-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.88,903.0,400.02,402.0,10.0,9,9,2021
2478545,15-09-2021,Республика Бурятия,КНИГИ,0.0,0.0,532.94,458.0,10.0,15,9,2021
