month,purchase_category_nm,coronaindex
6,АРЕНДА АВТО,4.720401154004671
3,СЕРВИС. УСЛУГИ,4.729303797468354
2,СЕРВИС. УСЛУГИ,4.739357429718876
4,ТРАНСПОРТ,4.739364622826513
11,РЕСТОРАНЫ,4.761862745098039
7,РАЗВЛЕЧЕНИЯ,4.801863117870722
1,"ДОМ, РЕМОНТ",4.832806174089069
4,СЕРВИС. УСЛУГИ,4.8545121632226
3,РЕСТОРАНЫ,4.868956356736243
8,"ОДЕЖДА, ОБУВЬ",4.8734724857685014
2,АВТО УСЛУГИ,4.8936247216035635
6,ОБРАЗОВАНИЕ,4.896954866775421
8,НКО,4.910551680405834
6,РЕСТОРАНЫ,4.94237908496732
